establishment.name,address,city,time.in.h,time.in.m,time.in.ampm,time.out.h,time.out.m,time.out.ampm,inspection.date,cfsm,purpose.of.inspection,risk.type,permit.number,current.score,current.grade,template_type,date_time_in,date_time_out,inspection_duration
 CHICK-FIL-A PERIMETER AT HAMMOND #3049, 4350 ASHFORD DUNWOODY ROAD, DUNWOODY,11.0,50.0,AM,2.0,55.0,PM,2016-07-15,Alex Rodriguez (10/11/16),Routine,2,887460,93.0,A,Food_2015,2016-07-15T11:50:00Z,2016-07-15T14:55:00Z,3.0833333333333335
 CHILI'S GRILL & BAR, 2133 LAVISTA ROAD, ATLANTA,10.0,50.0,AM,1.0,15.0,PM,2016-12-21,Tyler White,Routine,2,444464,93.0,A,Food_2015,2016-12-21T10:50:00Z,2016-12-21T13:15:00Z,2.4166666666666665
 CHILI'S GRILL & BAR, 2133 LAVISTA ROAD, ATLANTA,12.0,15.0,PM,3.0,10.0,PM,2016-03-10,Michael Pickering,Routine,2,444464,83.0,B,Food_2015,2016-03-10T12:15:00Z,2016-03-10T15:10:00Z,2.9166666666666665
 CHILI'S GRILL & BAR #298, 4784 ASHFORD DUNWOODY ROAD, ATLANTA,2.0,0.0,PM,3.0,45.0,PM,2016-08-23,Andrew Moffett,Routine,2,444122,91.0,A,Food_2015,2016-08-23T14:00:00Z,2016-08-23T15:45:00Z,1.75
 CHILI'S GRILL AND BAR, 2920 STONECREST CIRCLE, LITHONIA,11.0,30.0,AM,1.0,5.0,PM,2016-06-06,MIchael Kile 3/2021,Followup,2,882139,85.0,B,Food_2015,2016-06-06T11:30:00Z,2016-06-06T13:05:00Z,1.5833333333333333
 CHILI'S GRILL AND BAR, 2920 STONECREST CIRCLE, LITHONIA,1.0,15.0,PM,3.0,15.0,PM,2016-04-06,Michael Kile 3/2021,Routine,2,882139,74.0,C,Food_2015,2016-04-06T13:15:00Z,2016-04-06T15:15:00Z,2.0
 CHIN CHIN CHINESE RESTAURANT, 3887 PEACHTREE ROAD, ATLANTA,12.0,20.0,PM,1.0,30.0,PM,2016-12-12,Siu Pi Ng Kuan,Routine,2,444481,79.0,C,Food_2015,2016-12-12T12:20:00Z,2016-12-12T13:30:00Z,1.1666666666666667
 CHIN CHIN CHINESE RESTAURANT, 3887 PEACHTREE ROAD, ATLANTA,12.0,15.0,PM,2.0,0.0,PM,2016-07-11,Siu Pi Ng Kuan,Routine,2,444481,83.0,B,Food_2015,2016-07-11T12:15:00Z,2016-07-11T14:00:00Z,1.75
 CHIN CHIN CHINESE RESTAURANT, 3887 PEACHTREE ROAD, ATLANTA,1.0,10.0,PM,3.0,40.0,PM,2016-02-10,Siu Pi Ng Kuan,Routine,2,444481,83.0,B,Food_2015,2016-02-10T13:10:00Z,2016-02-10T15:40:00Z,2.5
 CHINA BUCKS," 5412 BUFORD HIGHWAY, SUITE B", DORAVILLE,12.0,30.0,PM,3.0,10.0,PM,2016-05-31,Wen Ching Chen,Routine,2,887481,89.0,B,Food_2015,2016-05-31T12:30:00Z,2016-05-31T15:10:00Z,2.6666666666666665
 CHINA BUFFET," 2887 NORTH DECATUR ROAD, SUITE  A&B", DECATUR,11.0,10.0,AM,2.0,0.0,PM,2016-08-25,Chad Chen,Routine,2,880779,81.0,B,Food_2015,2016-08-25T11:10:00Z,2016-08-25T14:00:00Z,2.8333333333333335
